Date,IncidenceOfDiabetes,PrevalenceOfDiabetes
2011-05-07,0,0
2011-05-08,0,1
2011-05-09,3,40
2011-05-10,2,23
2011-05-11,3,19
2011-05-12,7,27
2011-05-13,1,7
2011-05-14,0,0
2011-05-15,0,2
2011-05-16,6,36
2011-05-17,3,16
2011-05-18,7,21
2011-05-19,3,22
2011-05-20,3,20
2011-05-21,0,0
2011-05-22,0,0
2011-05-23,2,36
2011-05-24,9,34
2011-05-25,2,20
2011-05-26,5,24
2011-05-27,3,19
2011-05-28,1,3
2011-05-29,0,1
2011-05-30,0,0
2011-05-31,5,24
2011-06-01,2,32
2011-06-02,5,24
2011-06-03,1,17
2011-06-04,0,5
2011-06-05,0,0
2011-06-06,4,40
2011-06-07,2,33
2011-06-08,1,23
2011-06-09,0,9
2011-06-10,2,14
2011-06-11,0,2
2011-06-12,0,0
2011-06-13,3,37
2011-06-14,4,27
2011-06-15,3,21
2011-06-16,5,25
2011-06-17,2,17
2011-06-18,1,1
2011-06-19,0,0
2011-06-20,2,29
2011-06-21,4,24
2011-06-22,2,18
2011-06-23,3,22
2011-06-24,5,17
2011-06-25,0,0
2011-06-26,0,0
2011-06-27,4,26
2011-06-28,4,38
2011-06-29,2,23
2011-06-30,2,22
2011-07-01,3,16
2011-07-02,0,0
2011-07-03,0,0
2011-07-04,2,15
2011-07-05,0,11
2011-07-06,4,17
2011-07-07,5,13
2011-07-08,2,13
2011-07-09,0,2
2011-07-10,0,0
2011-07-11,2,29
2011-07-12,0,26
2011-07-13,3,24
2011-07-14,0,19
2011-07-15,3,17
2011-07-16,0,0
2011-07-17,0,0
2011-07-18,3,36
2011-07-19,5,28
2011-07-20,0,13
2011-07-21,1,21
2011-07-22,3,17
2011-07-23,0,0
2011-07-24,0,1
2011-07-25,3,27
2011-07-26,1,23
2011-07-27,2,13
2011-07-28,8,19
2011-07-29,3,23
2011-07-30,0,0
2011-07-31,0,3
2011-08-01,0,28
2011-08-02,1,16
2011-08-03,2,14
2011-08-04,2,17
2011-08-05,3,9
2011-08-06,0,6
2011-08-07,0,0
2011-08-08,4,24
2011-08-09,3,24
2011-08-10,2,19
2011-08-11,4,17
2011-08-12,1,13
2011-08-13,0,0
2011-08-14,0,0
2011-08-15,3,19
2011-08-16,0,20
2011-08-17,5,15
2011-08-18,4,17
2011-08-19,2,15
2011-08-20,0,0
2011-08-21,0,0
2011-08-22,2,27
2011-08-23,0,18
2011-08-24,2,20
2011-08-25,1,21
2011-08-26,1,15
2011-08-27,0,0
2011-08-28,0,1
2011-08-29,0,0
2011-08-30,3,16
2011-08-31,2,20
2011-09-01,3,22
2011-09-02,3,14
2011-09-03,0,0
2011-09-04,0,0
2011-09-05,5,27
2011-09-06,0,24
2011-09-07,0,15
2011-09-08,2,11
2011-09-09,5,12
2011-09-10,0,0
2011-09-11,0,0
2011-09-12,1,26
2011-09-13,3,26
2011-09-14,2,21
2011-09-15,3,23
2011-09-16,4,19
2011-09-17,0,0
2011-09-18,0,1
2011-09-19,1,28
2011-09-20,6,23
2011-09-21,1,8
2011-09-22,3,17
2011-09-23,1,10
2011-09-24,0,0
2011-09-25,0,0
2011-09-26,2,23
2011-09-27,3,28
2011-09-28,4,25
2011-09-29,1,10
2011-09-30,2,20
2011-10-01,1,10
2011-10-02,0,0
2011-10-03,3,20
2011-10-04,0,17
2011-10-05,3,27
2011-10-06,1,19
2011-10-07,1,8
2011-10-08,0,1
2011-10-09,0,0
2011-10-10,3,27
2011-10-11,4,22
2011-10-12,3,19
2011-10-13,2,18
2011-10-14,2,11
2011-10-15,0,1
2011-10-16,1,1
2011-10-17,1,30
2011-10-18,3,21
2011-10-19,2,19
2011-10-20,2,15
2011-10-21,2,22
2011-10-22,0,0
2011-10-23,0,0
2011-10-24,2,14
2011-10-25,0,20
2011-10-26,5,11
2011-10-27,2,8
2011-10-28,2,8
2011-10-29,0,0
2011-10-30,0,1
2011-10-31,1,13
2011-11-01,7,23
2011-11-02,2,12
2011-11-03,1,14
2011-11-04,0,14
2011-11-05,0,0
2011-11-06,0,0
2011-11-07,2,24
2011-11-08,1,13
2011-11-09,3,26
2011-11-10,1,16
2011-11-11,4,18
2011-11-12,0,0
2011-11-13,0,0
2011-11-14,3,20
2011-11-15,2,29
2011-11-16,1,22
2011-11-17,3,32
2011-11-18,7,24
2011-11-19,1,1
2011-11-20,0,4
2011-11-21,3,27
2011-11-22,0,18
2011-11-23,5,30
2011-11-24,3,25
2011-11-25,1,11
2011-11-26,0,0
2011-11-27,0,1
2011-11-28,2,24
2011-11-29,1,26
2011-11-30,5,25
2011-12-01,0,17
2011-12-02,1,14
2011-12-03,0,0
2011-12-04,0,0
2011-12-05,0,26
2011-12-06,3,23
2011-12-07,0,13
2011-12-08,3,19
2011-12-09,1,16
2011-12-10,0,4
2011-12-11,0,2
2011-12-12,3,22
2011-12-13,2,27
2011-12-14,1,22
2011-12-15,3,25
2011-12-16,4,15
2011-12-17,1,1
2011-12-18,0,0
2011-12-19,4,27
2011-12-20,2,23
2011-12-21,2,15
2011-12-22,2,15
2011-12-23,2,6
2011-12-24,0,0
2011-12-25,0,0
2011-12-26,0,0
2011-12-27,0,0
2011-12-28,2,20
2011-12-29,2,11
2011-12-30,2,8
2011-12-31,1,3
2012-01-01,31,42
2012-01-02,0,0
2012-01-03,1,27
2012-01-04,2,18
2012-01-05,1,21
2012-01-06,2,25
2012-01-07,0,3
2012-01-08,0,1
2012-01-09,2,25
2012-01-10,5,25
2012-01-11,5,24
2012-01-12,3,25
2012-01-13,2,18
2012-01-14,1,2
2012-01-15,1,2
2012-01-16,1,28
2012-01-17,4,26
2012-01-18,1,22
2012-01-19,3,24
2012-01-20,2,23
2012-01-21,3,3
2012-01-22,0,0
2012-01-23,5,26
2012-01-24,1,17
2012-01-25,3,17
2012-01-26,5,23
2012-01-27,3,18
2012-01-28,0,0
2012-01-29,0,0
2012-01-30,6,39
2012-01-31,3,11
2012-02-01,4,32
2012-02-02,6,25
2012-02-03,4,23
2012-02-04,0,1
2012-02-05,0,0
2012-02-06,3,21
2012-02-07,1,14
2012-02-08,2,19
2012-02-09,1,16
2012-02-10,1,17
2012-02-11,2,2
2012-02-12,0,1
2012-02-13,3,22
2012-02-14,3,15
2012-02-15,1,14
2012-02-16,4,15
2012-02-17,2,15
2012-02-18,0,0
2012-02-19,1,1
2012-02-20,3,31
2012-02-21,6,27
2012-02-22,1,19
2012-02-23,5,26
2012-02-24,1,21
2012-02-25,0,4
2012-02-26,0,0
2012-02-27,3,33
2012-02-28,0,21
2012-02-29,1,19
2012-03-01,9,29
2012-03-02,3,16
2012-03-03,0,0
2012-03-04,0,0
2012-03-05,3,25
2012-03-06,6,27
2012-03-07,2,23
2012-03-08,4,30
2012-03-09,1,18
2012-03-10,0,0
2012-03-11,0,2
2012-03-12,1,25
2012-03-13,3,23
2012-03-14,1,22
2012-03-15,6,24
2012-03-16,2,10
2012-03-17,0,2
2012-03-18,0,0
2012-03-19,5,23
2012-03-20,4,19
2012-03-21,5,23
2012-03-22,5,21
2012-03-23,3,18
2012-03-24,2,2
2012-03-25,0,0
2012-03-26,3,31
2012-03-27,2,23
2012-03-28,1,20
2012-03-29,4,22
2012-03-30,0,16
2012-03-31,1,3
2012-04-01,1,1
2012-04-02,4,31
2012-04-03,2,24
2012-04-04,2,18
2012-04-05,6,26
2012-04-06,0,0
2012-04-07,0,0
2012-04-08,0,0
2012-04-09,0,0
2012-04-10,3,15
2012-04-11,3,15
2012-04-12,1,13
2012-04-13,3,26
2012-04-14,0,0
2012-04-15,0,0
2012-04-16,4,22
2012-04-17,2,19
2012-04-18,2,20
2012-04-19,3,15
2012-04-20,3,15
2012-04-21,0,4
2012-04-22,0,2
2012-04-23,5,35
2012-04-24,2,21
2012-04-25,1,16
2012-04-26,3,22
2012-04-27,4,24
2012-04-28,0,0
2012-04-29,1,1
2012-04-30,2,26
2012-05-01,2,28
2012-05-02,3,23
2012-05-03,5,22
2012-05-04,5,14
2012-05-05,0,1
2012-05-06,0,0
2012-05-07,0,0
2012-05-08,2,27
2012-05-09,4,24
2012-05-10,2,21
2012-05-11,1,21
2012-05-12,0,2
2012-05-13,0,0
2012-05-14,1,29
2012-05-15,7,32
2012-05-16,2,25
2012-05-17,5,19
2012-05-18,3,24
2012-05-19,0,0
2012-05-20,0,0
2012-05-21,4,27
2012-05-22,7,31
2012-05-23,3,19
2012-05-24,1,19
2012-05-25,4,22
2012-05-26,0,1
2012-05-27,0,0
2012-05-28,3,27
2012-05-29,3,22
2012-05-30,1,24
2012-05-31,7,28
2012-06-01,5,20
2012-06-02,0,0
2012-06-03,0,0
2012-06-04,0,0
2012-06-05,0,0
2012-06-06,4,25
2012-06-07,3,29
2012-06-08,0,16
2012-06-09,2,2
2012-06-10,0,0
2012-06-11,4,19
2012-06-12,2,14
2012-06-13,2,18
2012-06-14,3,12
2012-06-15,1,19
2012-06-16,1,2
2012-06-17,0,0
2012-06-18,4,33
2012-06-19,1,22
2012-06-20,1,26
2012-06-21,1,27
2012-06-22,4,24
2012-06-23,1,5
2012-06-24,0,0
2012-06-25,3,34
2012-06-26,3,22
2012-06-27,3,25
2012-06-28,3,11
2012-06-29,5,19
2012-06-30,0,0
2012-07-01,0,3
2012-07-02,3,26
2012-07-03,2,20
2012-07-04,2,25
2012-07-05,2,7
2012-07-06,0,12
2012-07-07,0,0
2012-07-08,0,0
2012-07-09,5,35
2012-07-10,6,32
2012-07-11,0,22
2012-07-12,2,16
2012-07-13,2,10
2012-07-14,0,0
2012-07-15,0,0
2012-07-16,3,34
2012-07-17,3,25
2012-07-18,2,19
2012-07-19,4,17
2012-07-20,3,20
2012-07-21,0,0
2012-07-22,0,0
2012-07-23,4,19
2012-07-24,2,12
2012-07-25,1,18
2012-07-26,1,15
2012-07-27,5,27
2012-07-28,0,1
2012-07-29,0,1
2012-07-30,1,27
2012-07-31,5,24
2012-08-01,4,24
2012-08-02,5,14
2012-08-03,5,18
2012-08-04,0,1
2012-08-05,0,1
2012-08-06,2,30
2012-08-07,3,20
2012-08-08,6,14
2012-08-09,4,18
2012-08-10,4,14
2012-08-11,0,0
2012-08-12,0,3
2012-08-13,3,29
2012-08-14,3,37
2012-08-15,3,23
2012-08-16,1,18
2012-08-17,3,20
2012-08-18,0,0
2012-08-19,0,0
2012-08-20,5,28
2012-08-21,2,26
2012-08-22,3,27
2012-08-23,2,12
2012-08-24,1,8
2012-08-25,0,0
2012-08-26,0,0
2012-08-27,1,1
2012-08-28,5,31
2012-08-29,1,20
2012-08-30,2,22
2012-08-31,1,9
2012-09-01,1,1
2012-09-02,0,0
2012-09-03,3,26
2012-09-04,4,35
2012-09-05,4,24
2012-09-06,5,13
2012-09-07,4,32
2012-09-08,0,0
2012-09-09,0,0
2012-09-10,3,19
2012-09-11,4,35
2012-09-12,2,25
2012-09-13,0,14
2012-09-14,0,11
2012-09-15,0,1
