Date,IncidenceOfCardiovascular,PrevalenceOfCardiovascular
2017-04-16,1,1
2017-04-17,3,3
2017-04-18,15,98
2017-04-19,12,79
2017-04-20,11,69
2017-04-21,12,72
2017-04-22,2,4
2017-04-23,1,2
2017-04-24,8,81
2017-04-25,17,80
2017-04-26,8,68
2017-04-27,4,82
2017-04-28,11,47
2017-04-29,3,5
2017-04-30,1,2
2017-05-01,7,18
2017-05-02,11,92
2017-05-03,8,70
2017-05-04,10,59
2017-05-05,7,52
2017-05-06,1,3
2017-05-07,1,6
2017-05-08,14,85
2017-05-09,14,59
2017-05-10,13,60
2017-05-11,19,51
2017-05-12,7,50
2017-05-13,1,4
2017-05-14,0,2
2017-05-15,9,75
2017-05-16,19,95
2017-05-17,6,62
2017-05-18,8,41
2017-05-19,10,51
2017-05-20,0,3
2017-05-21,1,2
2017-05-22,4,71
2017-05-23,11,93
2017-05-24,6,47
2017-05-25,11,55
2017-05-26,12,52
2017-05-27,0,1
2017-05-28,0,1
2017-05-29,1,2
2017-05-30,10,97
2017-05-31,10,75
2017-06-01,13,74
2017-06-02,6,38
2017-06-03,3,3
2017-06-04,2,3
2017-06-05,11,89
2017-06-06,21,102
2017-06-07,8,71
2017-06-08,10,47
2017-06-09,17,63
2017-06-10,1,3
2017-06-11,2,3
2017-06-12,7,63
2017-06-13,12,62
2017-06-14,14,71
2017-06-15,19,58
2017-06-16,12,58
2017-06-17,2,6
2017-06-18,2,2
2017-06-19,11,84
2017-06-20,19,81
2017-06-21,14,54
2017-06-22,10,45
2017-06-23,7,36
2017-06-24,2,2
2017-06-25,1,2
2017-06-26,14,89
2017-06-27,14,77
2017-06-28,12,79
2017-06-29,14,63
2017-06-30,8,60
2017-07-01,4,12
2017-07-02,2,4
2017-07-03,7,95
2017-07-04,10,75
2017-07-05,10,75
2017-07-06,17,64
2017-07-07,12,80
2017-07-08,0,1
2017-07-09,4,4
2017-07-10,17,97
2017-07-11,12,85
2017-07-12,16,67
2017-07-13,13,66
2017-07-14,14,59
2017-07-15,2,4
2017-07-16,2,3
2017-07-17,9,75
2017-07-18,21,83
2017-07-19,8,64
2017-07-20,16,62
2017-07-21,9,48
2017-07-22,0,3
2017-07-23,0,4
2017-07-24,12,67
2017-07-25,13,82
2017-07-26,7,65
2017-07-27,9,52
2017-07-28,10,65
2017-07-29,1,5
2017-07-30,0,2
2017-07-31,5,58
2017-08-01,12,64
2017-08-02,2,40
2017-08-03,14,73
2017-08-04,7,46
2017-08-05,2,3
2017-08-06,0,2
2017-08-07,13,81
2017-08-08,10,84
2017-08-09,15,54
2017-08-10,10,47
2017-08-11,7,38
2017-08-12,2,3
2017-08-13,1,1
2017-08-14,6,80
2017-08-15,9,68
2017-08-16,5,48
2017-08-17,14,79
2017-08-18,7,52
2017-08-19,0,3
2017-08-20,3,4
2017-08-21,13,92
2017-08-22,16,68
2017-08-23,14,58
2017-08-24,9,55
2017-08-25,11,46
2017-08-26,0,1
2017-08-27,0,0
2017-08-28,2,6
2017-08-29,6,70
2017-08-30,7,70
2017-08-31,7,77
2017-09-01,16,62
2017-09-02,0,3
2017-09-03,1,7
2017-09-04,8,60
