Date,IncidenceOfAntidepressants,PrevalenceOfAntidepressants
2017-02-16,18,897
2017-02-17,7,852
2017-02-18,2,46
2017-02-19,0,10
2017-02-20,15,1109
2017-02-21,13,940
2017-02-22,10,859
2017-02-23,15,809
2017-02-24,10,881
2017-02-25,0,41
2017-02-26,0,9
2017-02-27,21,1060
2017-02-28,14,989
2017-03-01,15,917
2017-03-02,11,857
2017-03-03,16,889
2017-03-04,1,29
2017-03-05,0,9
2017-03-06,11,1242
2017-03-07,20,1042
2017-03-08,12,821
2017-03-09,11,865
2017-03-10,10,921
2017-03-11,0,35
2017-03-12,0,11
2017-03-13,16,1211
2017-03-14,14,1010
2017-03-15,11,829
2017-03-16,19,907
2017-03-17,10,846
2017-03-18,0,28
2017-03-19,0,8
2017-03-20,23,1131
2017-03-21,19,1017
2017-03-22,12,855
2017-03-23,16,886
2017-03-24,9,839
2017-03-25,2,31
2017-03-26,0,10
2017-03-27,14,1140
2017-03-28,15,1066
2017-03-29,7,806
2017-03-30,13,839
2017-03-31,14,935
2017-04-01,0,32
2017-04-02,0,8
2017-04-03,16,1217
2017-04-04,10,1116
2017-04-05,19,904
2017-04-06,16,850
2017-04-07,19,896
2017-04-08,0,28
2017-04-09,0,23
2017-04-10,17,1193
2017-04-11,18,1116
2017-04-12,10,833
2017-04-13,11,924
2017-04-14,0,255
2017-04-15,0,19
2017-04-16,0,10
2017-04-17,0,273
2017-04-18,16,1351
2017-04-19,13,1069
2017-04-20,16,1051
2017-04-21,8,884
2017-04-22,0,21
2017-04-23,0,9
2017-04-24,20,1223
2017-04-25,23,1117
2017-04-26,15,949
2017-04-27,16,1028
2017-04-28,11,947
2017-04-29,2,21
2017-04-30,1,11
2017-05-01,0,241
2017-05-02,15,1254
2017-05-03,17,1111
2017-05-04,13,990
2017-05-05,13,1028
2017-05-06,1,21
2017-05-07,0,12
2017-05-08,18,1057
2017-05-09,13,1104
2017-05-10,16,810
2017-05-11,16,863
2017-05-12,13,843
2017-05-13,0,16
2017-05-14,0,11
2017-05-15,13,1113
2017-05-16,13,995
2017-05-17,8,836
2017-05-18,15,952
2017-05-19,11,953
2017-05-20,0,23
2017-05-21,0,10
2017-05-22,12,1145
2017-05-23,16,1002
2017-05-24,13,920
2017-05-25,9,933
